id,fna,gna,nam,cui,cue,anx,ges,nen_mde,tip,dep,dir,bar,com,sag,geometry
20,Establecimiento educativo JIN A DE 01 (ESC. PRIM. Nº 7 DE 01),Establecimiento Educativo,JIN A DE 01 (ESC. PRIM. Nº 7 DE 01),200007.0,200249.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Libertad 581,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27298.568342732884 73058.10751543636)
21,Establecimiento educativo PRESIDENTE ROCA,Establecimiento Educativo,PRESIDENTE ROCA,200007.0,201099.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos | Nivel primario de jóvenes y adultos,Escuelas Primarias para Adultos,Dirección de Educación del Adulto y del Adolescente,Libertad 581,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27298.568342732884 73058.10751543636)
22,Establecimiento educativo PRESIDENTE ROCA,Establecimiento Educativo,PRESIDENTE ROCA,200007.0,201152.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Libertad 581,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27298.568342732884 73058.10751543636)
23,Establecimiento educativo JIN A DE 01 (ESC. PRIM. Nº 8 DE 01),Establecimiento Educativo,JIN A DE 01 (ESC. PRIM. Nº 8 DE 01),200008.0,200249.0,02,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Talcahuano 680 - Viamonte 1314,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27139.583018146936 73161.10949987239)
24,Establecimiento educativo NICOLAS AVELLANEDA,Establecimiento Educativo,NICOLAS AVELLANEDA,200008.0,200250.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Talcahuano 680 - Viamonte 1314,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27139.583018146936 73161.10949987239)
25,Establecimiento educativo CENS Nº 03 PROF. MA.MARGARITA SALESI DE 01,Establecimiento Educativo,CENS Nº 03 PROF. MA.MARGARITA SALESI DE 01,200008.0,200431.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,Talcahuano 680 - Viamonte 1314,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27139.583018146936 73161.10949987239)
26,Establecimiento educativo NICOLAS AVELLANEDA,Establecimiento Educativo,NICOLAS AVELLANEDA,200008.0,201100.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos | Nivel primario de jóvenes y adultos,Escuelas Primarias para Adultos,Dirección de Educación del Adulto y del Adolescente,Talcahuano 680 - Viamonte 1314,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27139.583018146936 73161.10949987239)
27,Establecimiento educativo CURSOS ESPECIALES,Establecimiento Educativo,CURSOS ESPECIALES,200008.0,202010.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros Educativos Cursos Especiales,Dirección de Educación del Adulto y del Adolescente,Talcahuano 680 - Viamonte 1314,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27139.583018146936 73161.10949987239)
28,Establecimiento educativo JIN A DE 01 (ES. PRIM. Nº 9 DE 1),Establecimiento Educativo,JIN A DE 01 (ES. PRIM. Nº 9 DE 1),200009.0,200249.0,03,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,"Peron, Juan Domingo, Tte. General 1140",San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27400.085436751244 72548.89901005467)
29,Establecimiento educativo FAMILIA DE CABEZON,Establecimiento Educativo,FAMILIA DE CABEZON,200009.0,200869.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,"Peron, Juan Domingo, Tte. General 1140",San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27400.085436751244 72548.89901005467)
30,Establecimiento educativo CENS Nº 26 DE 01,Establecimiento Educativo,CENS Nº 26 DE 01,200009.0,201622.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,"Peron, Juan Domingo, Tte. General 1140",San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27400.085436751244 72548.89901005467)
31,Establecimiento educativo JIN B DE 01 (ESC. PRIM. N° 10 DE 1),Establecimiento Educativo,JIN B DE 01 (ESC. PRIM. N° 10 DE 1),200010.0,200580.0,01,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Lavalle 2366,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25771.65823782475 72849.18113951352)
32,Establecimiento educativo PRESIDENTE MANUEL QUINTANA,Establecimiento Educativo,PRESIDENTE MANUEL QUINTANA,200010.0,200644.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Lavalle 2366,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25771.65823782475 72849.18113951352)
33,Establecimiento educativo PRESIDENTE QUINTANA,Establecimiento Educativo,PRESIDENTE QUINTANA,200010.0,201424.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos | Nivel primario de jóvenes y adultos,Escuelas Primarias para Adultos,Dirección de Educación del Adulto y del Adolescente,Lavalle 2366,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25771.65823782475 72849.18113951352)
34,Establecimiento educativo JII Nº 01 AMERICA LATINA DE 01,Establecimiento Educativo,JII Nº 01 AMERICA LATINA DE 01,200011.0,200709.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Integrales (JII),Dirección de Educación Inicial,"Alvarez, Julian 2849",Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (24785.811666636284 74980.12619235902)
35,Establecimiento educativo GENERAL LAS HERAS,Establecimiento Educativo,GENERAL LAS HERAS,200011.0,200710.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,"Alvarez, Julian 2849",Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (24785.811666636284 74980.12619235902)
36,Establecimiento educativo CENTRO EDUC. COMPL. DE EDUC. PLASTICA N°1 DE 01,Establecimiento Educativo,CENTRO EDUC. COMPL. DE EDUC. PLASTICA N°1 DE 01,200011.0,201943.0,00,Estatal,Servicios complementarios/alternativos,Centros Educativos Complementarios de Educación Plástica,Dirección de Educación Primaria,"Alvarez, Julian 2849",Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (24785.811666636284 74980.12619235902)
37,Establecimiento educativo GENERAL JOSE SAN MARTIN,Establecimiento Educativo,GENERAL JOSE SAN MARTIN,200012.0,200120.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,San Martin 458,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (28193.50591201552 72948.07484116124)
38,Establecimiento educativo CENS Nº 46 DE 01,Establecimiento Educativo,CENS Nº 46 DE 01,200012.0,200197.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,San Martin 458,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (28193.50591201552 72948.07484116124)
39,Establecimiento educativo CORNELIO SAAVEDRA,Establecimiento Educativo,CORNELIO SAAVEDRA,200013.0,200578.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Sarmiento 2250,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25931.635803517678 72562.18741074055)
40,Establecimiento educativo JIN B DE 01 (ESC. PRIM. N° 14 DE 1),Establecimiento Educativo,JIN B DE 01 (ESC. PRIM. N° 14 DE 1),200013.0,200580.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Sarmiento 2250,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25931.635803517678 72562.18741074055)
41,Establecimiento educativo CENTRO SARMIENTO,Establecimiento Educativo,CENTRO SARMIENTO,200013.0,203203.0,04,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Educación No Formal (CENOF),Gerencia Operativa de Educación para el Desarrollo y la Inclusión Labora,Sarmiento 2250,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25931.635803517678 72562.18741074055)
42,Establecimiento educativo WENCESLAO POSSE,Establecimiento Educativo,WENCESLAO POSSE,200014.0,200646.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Juncal 3131 - Juncal 3185,Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (25002.791657433263 74837.12350477162)
43,Establecimiento educativo JIC N° 03 DE 01,Establecimiento Educativo,JIC N° 03 DE 01,200014.0,200647.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Jardines de Infantes Comunes (JIC),Dirección de Educación Inicial,Juncal 3131 - Juncal 3185,Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (25002.791657433263 74837.12350477162)
44,Establecimiento educativo CENTRO JUNCAL,Establecimiento Educativo,CENTRO JUNCAL,200014.0,203203.0,05,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Educación No Formal (CENOF),Gerencia Operativa de Educación para el Desarrollo y la Inclusión Labora,Juncal 3131 - Juncal 3185,Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (25002.791657433263 74837.12350477162)
45,Establecimiento educativo DR. RAFAEL HERRERA VEGAS,Establecimiento Educativo,DR. RAFAEL HERRERA VEGAS,200015.0,200391.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos | Nivel primario de jóvenes y adultos,Escuelas Primarias para Adultos,Dirección de Educación del Adulto y del Adolescente,Las Heras General Av. 3084 - Las Heras General Av. 3086,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (25320.78004716079 75051.10045173184)
46,Establecimiento educativo DR. RAFAEL HERRERA VEGAS,Establecimiento Educativo,DR. RAFAEL HERRERA VEGAS,200015.0,200481.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Las Heras General Av. 3084 - Las Heras General Av. 3086,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (25320.78004716079 75051.10045173184)
47,Establecimiento educativo JIN C DE 01 (ESC. PRIM. Nº 18 DE 1),Establecimiento Educativo,JIN C DE 01 (ESC. PRIM. Nº 18 DE 1),200015.0,200713.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Las Heras General Av. 3084 - Las Heras General Av. 3086,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (25320.78004716079 75051.10045173184)
48,Establecimiento educativo ESEA DANZA MASTRAZZI CURSO JUVENIL N°03,Establecimiento Educativo,ESEA DANZA MASTRAZZI CURSO JUVENIL N°03,200015.0,203027.0,10,Estatal,Cursos y talleres de la submodalidad artística,Escuelas Superiores de Educación Artística (ESEA),Dirección de Educación Artística,Las Heras General Av. 3084 - Las Heras General Av. 3086,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (25320.78004716079 75051.10045173184)
49,Establecimiento educativo ESEA DANZA MASTRAZZI CURSO INFANTIL N°01,Establecimiento Educativo,ESEA DANZA MASTRAZZI CURSO INFANTIL N°01,200015.0,203027.0,12,Estatal,Cursos y talleres de la submodalidad artística,Escuelas Superiores de Educación Artística (ESEA),Dirección de Educación Artística,Las Heras General Av. 3084 - Las Heras General Av. 3086,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (25320.78004716079 75051.10045173184)
50,Establecimiento educativo JIN C DE 01 (ESC. PRIM. Nº 21 DE 1),Establecimiento Educativo,JIN C DE 01 (ESC. PRIM. Nº 21 DE 1),200016.0,200713.0,02,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Ayacucho 1849,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26691.667624305388 74483.0684798552)
51,Establecimiento educativo DR. ANGEL GALLARDO,Establecimiento Educativo,DR. ANGEL GALLARDO,200016.0,201158.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Ayacucho 1849,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26691.667624305388 74483.0684798552)
52,Establecimiento educativo CENS Nº 24 DE 01,Establecimiento Educativo,CENS Nº 24 DE 01,200017.0,200394.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,Larrea 854,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (25584.69463073949 73427.16289911277)
53,Establecimiento educativo BERNARDINO RIVADAVIA,Establecimiento Educativo,BERNARDINO RIVADAVIA,200017.0,200645.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Larrea 854,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (25584.69463073949 73427.16289911277)
54,Establecimiento educativo C.Y F.PIZARRO Y M.PIZARRO Y MONJE,Establecimiento Educativo,C.Y F.PIZARRO Y M.PIZARRO Y MONJE,200018.0,200648.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Peña 2670,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (25659.737291154663 74555.10862535537)
55,Establecimiento educativo CENTRO EDUCATIVO COMPLEMENTARIO DE IDIOMAS EXTRANJEROS Nº1 DE 01,Establecimiento Educativo,CENTRO EDUCATIVO COMPLEMENTARIO DE IDIOMAS EXTRANJEROS Nº1 DE 01,200018.0,202154.0,00,Estatal,Servicios complementarios/alternativos,Centros Educativos Complementarios de Idiomas Extranjeros,Dirección de Educación Primaria,Peña 2670,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (25659.737291154663 74555.10862535537)
56,Establecimiento educativo ADOLFO VAN GELDEREN,Establecimiento Educativo,ADOLFO VAN GELDEREN,200020.0,200714.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,"Salguero, Jeronimo 2455",Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (24884.045162147908 75125.72049876349)
57,Establecimiento educativo CONSERVATORIO SUPERIOR DE MUSICA MANUEL DE FALLA,Establecimiento Educativo,CONSERVATORIO SUPERIOR DE MUSICA MANUEL DE FALLA,200020.0,201173.0,02,Estatal,Ciclos de enseñanza artística | Cursos y talleres de la submodalidad artística | Nivel superior no universitario común | Trayecto Artístico Profesional,No corresponde - Otras dependencias,Ministerio de Cultura,"Salguero, Jeronimo 2455",Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (24884.045162147908 75125.72049876349)
58,Establecimiento educativo JIC Nº 09 DE 01,Establecimiento Educativo,JIC Nº 09 DE 01,200020.0,202955.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Jardines de Infantes Comunes (JIC),Dirección de Educación Inicial,"Salguero, Jeronimo 2455",Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (24884.045162147908 75125.72049876349)
59,Establecimiento educativo COLEGIO Nº 02 DOMINGO FAUSTINO SARMIENTO DE 01,Establecimiento Educativo,COLEGIO Nº 02 DOMINGO FAUSTINO SARMIENTO DE 01,200022.0,201136.0,00,Estatal,Nivel secundario común,Colegios,Dirección de Educación Media,Libertad 1257,Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (27245.609851425343 73963.06868274264)
60,Establecimiento educativo PASOS EN LIBERTAD,Establecimiento Educativo,PASOS EN LIBERTAD,200022.0,202458.0,45,Estatal,Servicios complementarios/alternativos,Primera Infancia,Subsecretaría de Gestión del Aprendizaje,Libertad 1257,Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (27245.609851425343 73963.06868274264)
61,Establecimiento educativo ESC. DE COM. Nº 2 DR. ANTONIO BERMEJO DE 01,Establecimiento Educativo,ESC. DE COM. Nº 2 DR. ANTONIO BERMEJO DE 01,200023.0,200563.0,00,Estatal,Nivel secundario común | Nivel secundario de jóvenes y adultos,Escuelas de Comercio,Dirección de Educación Media,Callao Av. 628 - Riobamba 623,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (26464.139825981132 73061.19490262982)
62,Establecimiento educativo CLUB DE JOVENES CENTRO,Establecimiento Educativo,CLUB DE JOVENES CENTRO,200023.0,202363.0,23,Estatal,Servicios complementarios/alternativos,Centros de Actividades Infantiles y Juveniles,Subsecretaría de Gestión del Aprendizaje,Callao Av. 628 - Riobamba 623,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (26464.139825981132 73061.19490262982)
63,Establecimiento educativo ESC. TEC. Nº 12 LIB. GRAL. SAN MARTIN DE 01,Establecimiento Educativo,ESC. TEC. Nº 12 LIB. GRAL. SAN MARTIN DE 01,200024.0,200509.0,00,Estatal,Nivel secundario común,Escuelas Técnicas,Dirección de Educación Técnica,Del Libertador Av. 238,Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (27894.350772051326 74139.6353527173)
64,Establecimiento educativo ESC. TEC. Nº 19 ALEJANDRO VOLTA DE 01,Establecimiento Educativo,ESC. TEC. Nº 19 ALEJANDRO VOLTA DE 01,200025.0,201232.0,00,Estatal,Nivel secundario común,Escuelas Técnicas,Dirección de Educación Técnica,Lavalle 1681,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (26646.604462257936 72916.14126620487)
65,Establecimiento educativo ESC.SUP.DE EDUC.ARTISTICA EN DANZA AIDA VICTORIA MASTRAZZI DE 01,Establecimiento Educativo,ESC.SUP.DE EDUC.ARTISTICA EN DANZA AIDA VICTORIA MASTRAZZI DE 01,200026.0,203027.0,00,Estatal,Ciclos de enseñanza artística | Cursos de Capacitación de nivel superior | Cursos y talleres de la submodalidad artística | Nivel secundario común | Nivel superior no universitario común,Escuelas Superiores de Educación Artística (ESEA),Dirección de Educación Artística,Esmeralda 285,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27832.518521051767 72693.10152396355)
66,Establecimiento educativo ESEA DANZA MASTRAZZI CURSO JUVENIL N°08,Establecimiento Educativo,ESEA DANZA MASTRAZZI CURSO JUVENIL N°08,200026.0,203027.0,09,Estatal,Cursos y talleres de la submodalidad artística,Escuelas Superiores de Educación Artística (ESEA),Dirección de Educación Artística,Esmeralda 285,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27832.518521051767 72693.10152396355)
67,Establecimiento educativo CBO Nº 04 PAULO FREIRE  DE 01,Establecimiento Educativo,CBO Nº 04 PAULO FREIRE  DE 01,200027.0,202422.0,00,Estatal,Nivel secundario común,Ciclos Básicos de Formación Ocupacional (CBO),Dirección de Educación Media,Juncal 1258,Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (27156.323300999058 74029.24589452747)
68,Establecimiento educativo ESC. DE COM. Nº 26 ENRIQUE DE VEDIA DE 01,Establecimiento Educativo,ESC. DE COM. Nº 26 ENRIQUE DE VEDIA DE 01,200028.0,200390.0,00,Estatal,Nivel secundario de jóvenes y adultos,Escuelas de Comercio,Dirección de Educación Media,Juncal 3251,Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (24852.80304896452 74879.12786740273)
69,Establecimiento educativo ENS EN LENGUAS VIVAS SOFIA ESTHER BROQUEN DE SPANGENBERG DE 01,Establecimiento Educativo,ENS EN LENGUAS VIVAS SOFIA ESTHER BROQUEN DE SPANGENBERG DE 01,200028.0,200708.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal | Nivel primario común | Nivel secundario común | Nivel superior no universitario común,Escuelas Normales Superiores,Dirección de Escuelas Normales Superiores,Juncal 3251,Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (24852.80304896452 74879.12786740273)
