long,lat,id,nombre,tipo,tipo_norma,sede,direccion,direccion_2,observaciones_direccion,telefono,e_mail,facebook,web,actividade,instalacio,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.3970888129705,-34.6070141409099,85,VASCO ARGENTINO GURE ECHEA,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Peron 2143,Peron 2143,,4953-8328  4951-5363,,,,"Coro, pelota paleta, natacion, padel.",cancha - salon - natatorio,Peron ,2143,,,,
-58.4130443661237,-34.5687555740353,280,TENIS CLUB ARGENTINO,CLUB,CLUB,SEDE PALERMO - TIENEN OTRA SEDE EN OLIVOS,"Valentin Alsina 4375, y Belisario Roldán, detrás del planetario",Av. Valentin Alsina 4375,y Belisario Roldán,4772-1744/4507/9769,secretaria@tenisclubargentino.com,,www.tenisclubargentino.com/,tenis,3 salones - cancha de fútbol - 21 canchas de tenis,Av. Valentin Alsina ,4375,,,,
-58.4155660407943,-34.5691714743677,276,ASOCIACION CIVIL CLUB HIPICO BUENOS AIRES,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,"Figueroa Alcorta 4800 esquina Belisario Roldán, enfrente del viejo Velódromo (hoy el Club CUBA)",Figueroa Alcorta 4800,esq. Belisario Roldán,4777-1222,clubhipicobsas@hotmail.com,,,hipismo - escuela de equitacion desde 6 años hasta adolescentes - equinoterapia,1 salon - 2 pistas de hipismo,Figueroa Alcorta ,4800,Palermo,Comuna 14,1425,C1425CMN
-58.462968104885,-34.5361398883746,271,CIRCULO POLICIA FEDERAL,CLUB,CLUB,SEDE CRIO. GRAL. R. O. SCHULLER,Santiago de Calzadilla 1350,Santiago Calzadilla 1350,,,info@cpf.org.ar,Club Círculo Policía Federal,www.cpf.org.ar,"futsal, patin, voley, hockey, natacion, artes marciales",4 natatorios (1 cubierto) - 2  canchas - 4 salones,Santiago Calzadilla ,1350,Nu\u00f1ez,Comuna 13,1429,C1429ECB
-58.5019055887167,-34.6679598699601,227,CLUB SOCIAL Y DEPORTIVO LIBERAL DE NUEVA CHICAGO,CLUB DE BARRIO,CLUB_DE_BARRIO,,Carhue 2855/77,Carhue 2855,,4686-6151,,,,"Baby, patin, artes marciales, gimnasia, gimnasia deportiva, pelota paleta, yoga. Actividades culturales.",2 canchas (1 de pelota-paleta) - 1 salon,Carhue ,2855,Mataderos,Comuna 9,1440,C1440ERC
-58.3840954318048,-34.6192314667557,190,CLUB DE AJEDREZ JAQUE MATE ASOCIACION CIVIL,CLUB DE BARRIO,CLUB_DE_BARRIO,,Sgo. Del Estero 952,Santiago Del Estero 952,,4305-5206,,,,ajedrez,biblioteca - 4 salones,Santiago Del Estero ,952,Constitucion,Comuna 1,1075,C1075AAT
-58.431309990681,-34.6378345933595,141,TELEGRAFO Y CRISOL UNIDOS,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Zarasa 951/953/957,Saraza 951,,4925-5830,,,,baby fútbol - patin - karate - taekwondo - kick boxing - tenis de mesa - gimnasia aerobica - tango - arqueria,1 cancha - 3 salones,Saraza ,951,Parque Chacabuco,Comuna 7,1424,C1424CWK
-58.4415389500173,-34.6608059817591,82,ASOCIACION DE FOMENTO JOSE SOLDATI,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Av. La Fuente 2931,Av. Lafuente 2931,,4918-6132,soldatijose@hotmail.com.ar,,,"Baby fútbol, patin artistico y competitivo, acrobacia con telas, Chaiu-Do-Kwan.",cancha - salon,Av. Lafuente ,2931,Villa Soldati,Comuna 8,1437,C1437BUG
-58.4767504767871,-34.5850277939546,69,SOCIAL Y DEPORTIVO VILLA MODELO,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Arizmendi 2686,Arismendi 2686,,,,,,gimnasia ritmica - ajedrez - acrobacia - yoga - gimnasia para adultos,salones,Arismendi ,2686,Parque Chas,Comuna 15,1427,C1427DLF
-58.5223008357314,-34.6536700912009,57,BRISAS DE LINIERS,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Montiel 1374/82,Montiel 1374,,4644-3552,,,,"baby, artes marciales, gimnasia, yoga",salon - cancha,Montiel ,1374,Liniers,Comuna 9,1408,C1408FWB
-58.5244274252304,-34.6225059595215,1,JORGE NEWBERY,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Irigoyen 2050,Irigoyen 2050,,4642-4859,jnfutsal@gmail.com,Jorge Newbery Futsal,www.jnfutsal.blogspot.com.ar,"Gimnasia artistica, fútbol, padel, patin, gimnasia ritmica, baby, futsal, clases de folklore, taekwondo. Actividades culturales.","canchas de baby, canchas de padel, salones",Irigoyen ,2050,Villa Real,Comuna 10,1408,C1408CPR
-58.4313497069514,-34.5918863430494,2,UNION GENERAL ARMENIA DE CULTURA FISICA - UGAB,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Armenia 1318/22,Armenia 1318,,"4773-2820 int.128 (de 15hs a 20hs)

",secretaria@ugab.org.ar - ugab.deporte@gmail.com,Facebook | Ugab-Deportes,www.ugab.org.ar,"Básquet , futsal, voley, patín, tenis de mesa, karate, natación, gimnasia artística, taekwondo, iniciación deportiva.",natatorios climatizados,Armenia ,1318,Palermo,Comuna 14,1414,C1414DKD
-58.3827702384402,-34.6072091707884,3,CLUB GIMNASIA Y ESGRIMA DE BUENOS AIRES,CLUB,CLUB,CENTRAL - DR. R. C. ALDAO,"Bartolome Mitre 1149 - Tte. Gral. J. D. Peron 1154

",Bartolome Mitre 1149,,4382-4395/ 0031,info@geba.org.ar,GEBA - Club de Gimnasia y Esgrima de Buenos Aires (Oficial),www.portaldegeba.com,Acond. Físico -Aeróbica y Localizada -Aikido-Ajedrez -Basquet -Body Combat -Body Pump -Boxeo -Bridge -Danesa -Danza Jazz -Esgrima y de Bastón -Flexibilidad -Futbol -Gim. Artística Fem. y Masc. - Natación (más info en Tabla Anexo),"Gim. de 50 x 24 m:Voley y Basquet - 2 Gim. de Voley, Basquet y Fútbol 5 - 4 Gim. Activ. Gimnásticas y Recreativas - 3 Trinquetes de Pelota a Paleta - Gim. y Ring Box - 1 Gim. para Gim. dep. y artíst. -Natatorio 25m cubierto (más info en Tabla Anexo)",Bartolome Mitre ,1149,San Nicolas,Comuna 1,1036,C1036AAU
-58.4257391260183,-34.5603138223326,4,CLUB GIMNASIA Y ESGRIMA DE BUENOS AIRES,CLUB,CLUB,SEDE SAN MARTIN,"Av. Figueroa Alcorta 5575
","Av. Pres. Figueroa Alcorta 5575
",,"Conmutador: 4788-8400/3303/5073
",info@geba.org.ar,GEBA - Club de Gimnasia y Esgrima de Buenos Aires (Oficial),www.portaldegeba.com,Aerobica y Localizada - Aerobico y Latino - Ajedrez - Basquetbol - Deport Training - Flexibilidad - Futbol - Gimnasia Artistica Femenina y Acrobatica - Musculacion - Golf - Hockey Sobre Cesped Femenino -Waterpolo (más info en Tabla Anexo),24 canchas tenis ladrillo - 2 Canchas tenis cemento - 7 Canchas Voley - 3 Canchas Futbol 11 - 3 Canchas de Futbol sintetico - 3 Piletas de 700 m2 (una climatizada)- Cancha basquet de cemento - 2 Canchas Hockey Cesped sintético (más info en Tabla Anexo),Av. Pres. Figueroa Alcorta ,5575,Palermo,Comuna 14,1426,C1426CBF
-58.4204750187746,-34.5687506154077,5,CLUB GIMNASIA Y ESGRIMA DE BUENOS AIRES,CLUB,CLUB,SEDE ING. J. NEWBERY,"Marcelino Freyre 3831 - Av. Dorrego 3600
",Marcelino Freyre 3831,,"4777-8400
",info@geba.org.ar,GEBA - Club de Gimnasia y Esgrima de Buenos Aires (Oficial),www.portaldegeba.com,Aeróbica y Localizada Ajedrez Atletismo -Gim. Musculación - Indoor Cycle - Iniciación Deportiva -Localizada y Intensa -Natación - P.A.F.B. - Pelota a Paleta  Tenis - Yoga Moderno -  Colonia de vacaciones (más info en Tabla Anexo),6 Canchas tenis ladrillo - 1 Frontón - 1 Cancha basquet cemento - 1 Playón multiuso / Cancha sintético mini fútbol - 1 Estadio con capaciad  para 12.000 espectadores - 4 Canchas Mini Voley - 1 Pista de Atletismo de 6 andariveles (más info en Tabla Anexo),Marcelino Freyre ,3831,Palermo,Comuna 14,,
-58.510322471747,-34.6129808016421,6,DEVOTO SOCIAL ALLENDE,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Melincue 4656,Melincue 4656,,4566-8557,,,,"baby fútbol, pelota paleta, gimnasia, gimnasia deportiva, taekwondo, pilates, spining",canchas - salon - biblioteca - natatorio,Melincue ,4656,Villa Devoto,Comuna 11,1417,C1417FIJ
-58.4685894723874,-34.6416755725458,7,PEDRO ECHAGUE,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Portela 840,Portela 840,,4637-0843  4612-0117,icdpedroechague@hotmail.com,I. C.D. CLUB PEDRO ECHAGUE,www.icdpedroechague.com,"basquet, futsal, baby, voley, patin, handbol, karate, taekwondo, teatro, gimnasio de musculacion, teatro, coro, iniciacion deportiva, gimnasia acrobatica
",3 canchas - 1 salon - gimnasio,Portela ,840,Flores,Comuna 7,1406,C1406FDR
-58.3738442920558,-34.6239549838877,8,SAN TELMO,CLUB,CLUB,CENTRAL,Peru 1362,Peru 1362,,4-300-8965 / 4-300-8902,soydetelmo@hotmail.com,Club Atletico San Telmo,www.soydetelmo.com.ar,"Fútbol profesional, Handball federado damas y caballeros, Hockey federado damas y caballeros, Boxeo federado, Patín artístico, Escuela de fútbol, Fútbol femenino, Gimnasia para adultos. Clases de tango. Actividades culturales.",,Peru ,1362,San Telmo,Comuna 1,1141,C1141ACD
-58.3749468674593,-34.6231549107991,10,SAN TELMO,CLUB,CLUB,ANEXO FUTBOL INFANTIL,Cochabamba 657,Cochabamba 657,,4-300-8965 / 4-300-8902,soydetelmo@hotmail.com,Club Atletico San Telmo,www.soydetelmo.com.ar,"Fútbol profesional, Handball federado damas y caballeros, Hockey federado damas y caballeros, Boxeo federado, Patín artístico, Escuela de fútbol, Fútbol femenino, Gimnasia para adultos. Clases de tango. Actividades culturales.",,Cochabamba ,657,San Telmo,Comuna 1,1150,C1150AAI
-58.3738459621111,-34.6239333540727,11,SAN TELMO,CLUB,CLUB,ANEXO GIMNASIO CENTENARIO,Peru 1360,Peru 1360,,4-300-8965 / 4-300-8902,soydetelmo@hotmail.com,Club Atletico San Telmo,www.soydetelmo.com.ar,"Fútbol profesional, Handball federado damas y caballeros, Hockey federado damas y caballeros, Boxeo federado, Patín artístico, Escuela de fútbol, Fútbol femenino, Gimnasia para adultos. Clases de tango. Actividades culturales.",,Peru ,1360,San Telmo,Comuna 1,1141,C1141ACD
-58.5048796247501,-34.5889975300273,12,CLUB SOCIAL SPORTIVO DEVOTO,CLUB DE BARRIO,CLUB_DE_BARRIO,,Gabriela Mistral 3151,Gabriela Mistral 3151,,4571-3552,,,,"boxeo, artes marciales, fútbol,
tejo",salones - canchas de tejo,Gabriela Mistral ,3151,Villa Pueyrredon,Comuna 12,1419,C1419GFU
-58.4141329130848,-34.6031227944128,13,CIRCULO DE AJEDREZ TORRE BLANCA,CLUB DE BARRIO,CLUB_DE_BARRIO,,Sanchez de Bustamante 587,Sanchez de Bustamante 587,,4862-3161,circulotorreblanca@fibertel.com.ar,,,ajedrez,,Sanchez de Bustamante ,587,Almagro,Comuna 5,1173,C1173ABI
-58.4134233056446,-34.618341684109,14,KANAIMA ASOCIACION CIVIL,CLUB DE BARRIO,CLUB_DE_BARRIO,,Agrelo 3356,Agrelo 3356,,4932-9926,kanaima_org@yahoo.com.ar,,,"baby, gimnasia, teatro, tango",cancha - salon,Agrelo ,3356,Almagro,Comuna 5,1224,C1224ABF
-58.4747664234414,-34.5895430979502,15,AGRONOMIA CENTRAL,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Bauness 958,Bauness 958,,4524-2225,clubagronomiacentral@gmail.com,Club Agronomia Central,www.clubagronomiacentral.wordpress.com,"voley, basquet, baby fútbol, patin, boxeo, gimnasia, futsal, fútbol femenino",canchas - salon,Bauness ,958,Parque Chas,Comuna 15,1427,C1427BCL
-58.4595858940217,-34.6034211900075,16,ATLETICO LA PATERNAL,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Fragata Sarmiento 1951,Fragata Sarmiento 1951,,4581-2558,calapaternal@hotmail.com,,,"Fútbol, Paleta, Taekwondo, Patín artístico, Muay Thai, Roller derby y Vóley",cancha - salones,Fragata Sarmiento ,1951,Paternal,Comuna 15,1416,C1416CBQ
-58.4686933035274,-34.6126443514573,17,VILLA GENERAL MITRE,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Gavilan 1540,Gavilan 1540,,4584-2822   4581-0846,,,,"Basquet, Fútbol infantil, Futsal, Taekwondo, Yin Tao, Gimnasia Artística, Patín, Tela y Gimnasio de musculación",canchas - salones,Gavilan ,1540,Villa Gral. Mitre,Comuna 11,1416,C1416ACH
-58.4907981692661,-34.5919090463545,18,BIBLIOTECA GENERAL ARTIGAS,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Navarro 2544,Navarro 2544,,4575-4459 / 4571-1370,artigasclub@gmail.com,BIBLIOTECA GENERAL ARTIGAS (OFICIAL),,"baby fútbol, patin, taekwondo, musculacion, voley, gimnasia, tango",cancha - salones - gimnasio - biblioteca,Navarro ,2544,Agronomia,Comuna 15,1419,C1419HSJ
-58.5025494609551,-34.6534728037928,19,JOSE HERNANDEZ,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Bragado 5950,Bragado 5950,,4635-2323,asocjosehernandez@hotmail.com,JOSE HERNANDEZ,,"patin, voley, gimnasia, gimnasia deportiva, artes marciales, danza, ajedrez, otros","gimnasios, canchas, salon, biblioteca, natatorio",Bragado ,5950,Mataderos,Comuna 9,1440,C1440ACV
-58.4779606002259,-34.5478618359252,20,ALL BOYS DE SAAVEDRA,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Besares 3142,Besares 3142,,4541-8338,allboys_saavedra@yahoo.com.ar,All Boys de Saavedra - Voley,www.allboyssaavedra.com.ar,"Boxeo, artes marciales, danzas, gimnasia aerobica, voley, basquet, futsal, baby, escalada deportiva, indoor bike, pilates. Actividades culturales.",biblioteca - gimnasio - salon - canchas,Besares ,3142,Saavedra,Comuna 12,1429,C1429DJD
-58.438872244175,-34.5911296364412,21,CICLISTA NACION,CLUB DE BARRIO,CLUB_DE_BARRIO,SEDE ADMINISTRATIVA,Godoy Cruz 1209,Godoy Cruz 1209,,4777-3232,clubciclistanacion@yahoo.com.ar,,,"Actividades de Ciclismo, competencias de ciclismo clasicas. Criterium de apertura que inicia la actividad de temporada de ruta, cuya prueba mas importante es la Doble bragado.",Sin instalaciones.,Godoy Cruz ,1209,Villa Crespo,Comuna 15,1414,C1414CYA
-58.5148338388374,-34.6433577978681,22,SANTIAGO DE LINIERS,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Caaguazu 6131/51,Caaguazu 6131,,4641-2839,,Grupo cerrado:  ASOCIACION DE FOMENTO SANTIAGO DE LINIERS,www.santiagodeliniers.com.ar,"Fútbol, Patín artístico, Taekwondo, Gimnasia artística y Netball. Colonia de vacaciones.",canchas - salon - natatorio,Caaguazu ,6131,Liniers,Comuna 9,1408,C1408ETI
-58.4488355684246,-34.647306399078,23,DAOM,CLUB,CLUB,UNICA,Varela 1802,Varela 1802,,4633-2583,,CLUB DAOM,www.daom.com.ar,"Tenis, Vóley, Rugby, Hockey s/cesped, Patín artístico, Béisbol, Natación femenino y masculino. Colonia de vacaciones.",gimnasios - salones - natatorios - canchas - quinchos,Varela ,1802,Flores,Comuna 7,1406,C1406ELL
-58.4861070356893,-34.6587252332728,24,ARGENTINO,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Albariño 2253,Albariño 2253,,4682-2045,clubargentino.mataderos@gmail.com,,,"baby, gimnasia y artes marciales",biblioteca - 2 salones,Albari,2253,Mataderos,Comuna 9,1440,C1440DFG
-58.5045949347737,-34.634702430575,25,STENTOR,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Sarachaga 5634,Sarachaga 5634,,4683-5712,clubstentor@yahoo.com.ar,,,"Fútbol infantil (FAFI) de 4 a 13 años, Futsal (de 14 años en adelante), Liga Metropolitana, Futsal Señor (para mayores de 35 años), Gimnasia, boxeo, Kick Boxing, Localizada,Yoga, Body Pump, Defensa personal, Kungfu, taekwondo, sanda y merengue.",cancha - salon,Sarachaga ,5634,Villa Luro,Comuna 10,1407,C1407EHD
-58.4996369837935,-34.6231593445348,26,NUESTRO BUENOS AIRES CANBA,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,San Blas  4577,San Blas  4577,,4567-4439  4648-3577,,,,"baby fútbol, patin, voley",cancha - salon,San Blas  ,4577,Velez Sarsfield,Comuna 10,1407,C1407FTY
-58.4881972205787,-34.5543219657401,27,ESTUDIANTES DEL NORTE,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Holmberg 4070/78,Holmberg 4070,,4546-0344,estudiantesdn@gmail.com,Club Estudiantes Del Norte,www.estudiantesdelnorte.com.ar,"Fútbol (escuelita y competición), Taekwondo, Patín artístico, Yoga, Boxeo (actividad gratuita) y Vóley recreativo (actividad gratuita). Actividades culturales.",cancha fútbol 5 - salon,Holmberg ,4070,Saavedra,Comuna 12,1430,C1430DQD
-58.5002544118205,-34.6390142737735,28,LOS AMIGOS DE VILLA LURO,CLUB DE BARRIO,CLUB_DE_BARRIO,"DOS SEDES, UNA FRENTE A LA OTRA",Ramon L. Falcon 5176,Ramon L. Falcon 5176,,4683-4740,,AVL NATACION AVL FUTBOL,www.amigosdevillaluro.com.ar,"Fútbol infantil, Futsal, Fútbol femenino, Taekwondo (ITF y WTF), Vóley, Patín artístico, Gimnasia artística, Básquet infantil, Hándbol, Escuela de danzas, Ajedrez, Folklore. Natatorio climatizado y Gimnasio de musculación. Actividades culturales.",biblioteca - canchas - salones - natatorio,Ramon L. Falcon ,5176,Villa Luro,Comuna 10,1407,C1407GTL
-58.497739054385,-34.5695794499806,29,PENACHO AZUL,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Jose P. Tamborini 5658/76,Jose P. Tamborini 5658,,4543-7910  4545-5552,,PENACHO AZUL,,"Fútbol infantil, fútbol de competicion, taekwondo, patin artistico, patin de competicion, artes marciales, gimnasia artistica. Actividades culturales.",canchas,Jose P. Tamborini ,5658,Villa Urquiza,Comuna 12,1431,C1431AGV
-58.5293250697758,-34.6218719661618,30,TRIGLAV,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Manuel Porcel de Peralta 1458,Manuel Porcel de Peralta 1458,,4644-0605,triglavbsas@yahoo.com.ar - triglavajedrez@gmail.com,TRIGLAV INSTITUCIONAL,www.ametriglav.com.ar,"Acuagym, Colonia Vacaciones, Natación, Tango, Folklore, Bowling, Baile, Gim. Aeróbica y Artística, Yoga, Patín Artístico, Voley, Taekwondo, Basquet, Futbol, Musculación, Buceo, Hockey Subacuático, Escalada, Jiu jitsu, Boxeo (más info en Tabla Anexo)",canchas - salones - natatorio,Manuel Porcel de Peralta ,1458,Villa Real,Comuna 10,1408,C1408CBX
-58.4793045243461,-34.5878881524169,31,CIRCULO SOCIAL VERTIZ,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Andonaegui 1246,Andonaegui 1246,,4521-3580,,,,"futsal, gimnasia deportiva, artes marciales: Karate, kickbox, winshu. Gimnasia, ritmos latinos, voley. Danza para niñas, esferoterapia, streching, yoga. Apoyo escolar, pintura, centro de jubilados.",salon - cancha - gimnasio,Andonaegui ,1246,Parque Chas,Comuna 15,1427,C1427BEH
-58.5251762539366,-34.6435303382022,32,LINIERS CLUB,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Palmar 7035,Palmar 7035,,4644-7651  4641-0532,,,,"Natación, Acquagym, Pileta libre, Escuelita de fútbol, Gimnasio de complementos, Zumba, Gimnasia artística, Patín, Boxeo, Basquet, Sipalki, Taekwondo y Pilates","natatorios, salones, cancha, gimnasio",Palmar ,7035,Liniers,Comuna 9,1408,C1408EEM
-58.4910215585017,-34.5897403371899,33,DEPORTIVO MORAN,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Pedro Moran 2446/52,Pedro Moran 2446,,4571-4031,,CLUB MORAN,www.clubmoran.com.ar,"Baby fútbol, papi fútbol, patin, tango, ajedrez.",salon - cancha,Pedro Moran ,2446,Agronomia,Comuna 15,1419,C1419HJH
-58.4988323888633,-34.6103631840492,34,EL ALBA,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,J. V. Gonzalez 2469/75,J. V. Gonzalez 2469,,4568-8864,clubalba@yahoo.com.ar,,,"gimnasia, artes marciales (taekwondo y kung fu), danza, patin artistico, fútbol, escuela de voley, proximamente escuela de boxeo.",,J. V. Gonzalez ,2469,Villa Del Parque,Comuna 11,1417,C1417AQG
-58.4496361570064,-34.6365973673662,35,ASOCIACION CIVIL SOCIEDAD DE FOMENTO Y CULTURA MALVINAS ARGENTINAS,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Eva Peron 1930,Eva Peron 1930,,4923-1887,,,,"Taekwondo, ajedrez, yoga, actividades para jubilados, bachata, salsa, folklore. Actividades culturales.",biblioteca - 3 salones,Eva Peron ,1930,Parque Chacabuco,Comuna 7,1406,C1406HMU
-58.425784999018,-34.6219667363925,36,ASOCIACION CIVIL DE VECINOS FLORENTINO AMEGHINO (AVEFA),CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Independencia 4246,Independencia 4246,,4922-2501 a partir de las 17 hs hasta las 24 hs,,SOYDEADEFA,,"Baby, futsal, yoga. Actividades culturales.",cancha - biblioteca,Independencia ,4246,Boedo,Comuna 5,1226,C1226AAU
-58.4249518753461,-34.6586873593632,37,CHARRUA,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Charrua  3536,Charrua  3536,,4919-2648,,,,DEFENSA PERSONAL,salon,Charrua  ,3536,Nueva Pompeya,Comuna 4,1437,C1437AZN
-58.5050820847132,-34.6038930004133,38,KIMBERLEY,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Joaquin V.Gonzalez 3238,Joaquin V.Gonzalez 3238,,4502-9888,,,,"patin artistico, futsal, baby, 
",salon - cancha,Joaquin V.Gonzalez ,3238,Villa Devoto,Comuna 11,1417,C1417AQX
-58.4827415250818,-34.6419039011572,39,ALVEAR CLUB,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Jose E. Rodo 4190,Jose E. Rodo 4190,,4636-0183,alvearclub@outlook.com,,,"Fútbol (cancha de 11 - liga metropolitana, FAFI, CAFI), Futsal (AFA), Taekwondo, Tenis, Tenis de mesa y Gimnasio de aparatos",,Jose E. Rodo ,4190,Parque Avellaneda,Comuna 9,1407,C1407HDJ
-58.5107435796449,-34.6287087066742,40,VILLA LURO NORTE,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Elpidio Gonzalez 5445,Elpidio Gonzalez 5445,,4568-1061,,VILLA LURO NORTE,www.villaluronorte.com.ar,"Baby fútbol, Futsal (AFA), Fútbol femenino, Patín artístico y competencia, Aikido, Artes marciales mixtas, Baile y ritmo zumba, Folklore, Bádminton. Actividades recreativas y de diversión para jubilados.",canchas - salones,Elpidio Gonzalez ,5445,Villa Luro,Comuna 10,1407,C1407GBQ
-58.4838395463529,-34.6548725078182,41,BRISAS DEL SUD,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Guardia Nacional 1956,Guardia Nacional 1956,,4635-1444,,,,"Fútbol, patín,voley, natación cubierta y descubierta, gimnasia adultos e infantil, artes marciales, gim deportiva. Actividades culturales.",Cancha - Gimnasio -  Salones -  Natatorios,Guardia Nacional ,1956,Mataderos,Comuna 9,1440,C1440DUF
